member_id,loan_status,int_rate,Bin_int,dti,Bin_dti,Default_flag,No_of_Enquiry,enq_buckets,annual_inc,Income_bins,home_ownership,purpose,open_acc,emp_length,verification_status,delinq_2yrs,loan_amnt,Bins_loan_amt
LC1003,Fully Paid,12.42%,11,12.92,13,0,0,0,38000,3,RENT,other,8,3 years,Not Verified,0,7000,6
LC10030,Fully Paid,5.99%,1,25.97,26,0,0,0,45000,4,RENT,vacation,3,3 years,Source Verified,0,10000,8
LC10031,Fully Paid,14.79%,15,13.76,14,0,1,1-4,83200,7,MORTGAGE,debt_consolidation,12,4 years,Not Verified,0,2000,2
LC10032,Charged Off,11.49%,10,17.03,17,1,1,1-4,42000,3,RENT,debt_consolidation,13,5 years,Verified,0,16800,14
LC10033,Fully Paid,16.89%,18,11.22,11,0,2,1-4,96000,8,MORTGAGE,debt_consolidation,9,7 years,Not Verified,0,10000,8
LC10034,Charged Off,17.49%,19,10,10,1,1,1-4,42000,3,MORTGAGE,debt_consolidation,21,6 years,Source Verified,0,10000,8
LC10035,Fully Paid,15.99%,16,13.98,14,0,0,0,60000,5,MORTGAGE,other,7,5 years,Verified,1,1500,1
LC10036,Fully Paid,14.79%,15,19.97,20,0,1,1-4,45000,4,OWN,home_improvement,6,10+ years,Verified,0,8000,7
LC10037,Fully Paid,13.49%,13,18.84,19,0,2,1-4,34400,3,RENT,debt_consolidation,9,10+ years,Verified,0,35000,29
LC10038,Fully Paid,10.99%,9,12.01,12,0,0,0,87000,7,MORTGAGE,debt_consolidation,10,LT 1year,Not Verified,0,6000,5
LC10039,Fully Paid,13.49%,13,16.33,16,0,0,0,81000,6,RENT,other,10,2 years,Not Verified,0,3750,3
LC1004,Fully Paid,10.65%,8,19.07,19,0,0,0,95000,7,MORTGAGE,credit_card,10,4 years,Not Verified,1,16000,14
LC10040,Fully Paid,13.49%,13,12.68,13,0,0,0,35400,3,RENT,debt_consolidation,10,2 years,Source Verified,0,11000,9
LC10041,Fully Paid,7.49%,4,20.95,21,0,0,0,85000,7,MORTGAGE,other,3,LT 1year,Not Verified,0,3500,3
LC10042,Fully Paid,6.99%,3,5.2,6,0,0,0,27000,2,RENT,debt_consolidation,8,1 year,Verified,0,8325,7
LC10043,Fully Paid,7.49%,4,13.93,14,0,0,0,28000,2,OWN,debt_consolidation,7,10+ years,Verified,0,15000,13
LC10044,Fully Paid,11.99%,10,17.98,18,0,1,1-4,60000,5,MORTGAGE,debt_consolidation,14,10+ years,Not Verified,0,8000,7
LC10045,Fully Paid,9.99%,7,23.37,23,0,0,0,23004,2,RENT,credit_card,6,6 years,Not Verified,0,3900,3
LC10046,Fully Paid,6.99%,3,8.66,9,0,1,1-4,70000,6,MORTGAGE,home_improvement,5,10+ years,Not Verified,1,6000,5
LC10047,Fully Paid,7.49%,4,1.34,2,0,0,0,201000,16,OWN,debt_consolidation,6,10+ years,Not Verified,0,11800,10
LC10048,Fully Paid,8.49%,5,23.97,24,0,0,0,32496,3,RENT,debt_consolidation,4,3 years,Not Verified,0,2500,2
LC10049,Fully Paid,17.99%,20,8.04,8,0,1,1-4,60000,5,RENT,major_purchase,11,5 years,Source Verified,0,7000,6
LC1005,Fully Paid,16.77%,18,2.95,3,0,0,0,85000,7,MORTGAGE,home_improvement,6,4 years,Not Verified,2,10000,8
LC10050,Fully Paid,16.49%,17,15.55,16,0,1,1-4,48000,4,MORTGAGE,credit_card,5,4 years,Verified,0,16000,14
LC10051,Charged Off,15.99%,16,21.47,21,1,1,1-4,38616,3,RENT,house,24,7 years,Source Verified,0,12000,10
LC10052,Charged Off,19.69%,22,16.15,16,1,2,1-4,160000,12,MORTGAGE,credit_card,16,2 years,Not Verified,0,7000,6
LC10053,Fully Paid,8.49%,5,16.72,17,0,3,1-4,30000,2,MORTGAGE,debt_consolidation,9,10+ years,Verified,0,33000,28
LC10054,Fully Paid,7.49%,4,9.86,10,0,0,0,50000,4,RENT,home_improvement,6,1 year,Not Verified,0,4800,4
LC10055,Fully Paid,11.99%,10,16.96,17,0,0,0,57408,5,RENT,debt_consolidation,12,10+ years,Verified,0,21000,18
LC10056,Charged Off,20.62%,23,20.14,20,1,2,1-4,120000,9,MORTGAGE,debt_consolidation,9,1 year,Not Verified,0,10000,8
LC10057,Charged Off,22.48%,26,19.32,19,1,0,0,300000,23,MORTGAGE,other,6,2 years,Not Verified,0,5000,4
LC10058,Fully Paid,16.49%,17,3.44,4,0,0,0,30000,2,RENT,other,7,5 years,Verified,0,12475,11
LC10059,Fully Paid,7.49%,4,6.51,7,0,0,0,91228,7,MORTGAGE,debt_consolidation,3,4 years,Not Verified,0,24250,20
LC1006,Fully Paid,7.90%,4,17.62,18,0,2,1-4,38400,3,RENT,debt_consolidation,11,2 years,Source Verified,0,16000,14
LC10060,Fully Paid,5.99%,1,15.36,15,0,2,1-4,62500,5,MORTGAGE,wedding,4,1 year,Verified,0,5500,5
LC10061,Fully Paid,10.99%,9,6.02,6,0,0,0,71000,6,MORTGAGE,educational,6,1 year,Source Verified,0,3400,3
LC10062,Fully Paid,9.99%,7,12.47,13,0,0,0,82000,6,RENT,major_purchase,3,1 year,Not Verified,0,5000,4
LC10063,Fully Paid,16.49%,17,8.66,9,0,2,1-4,77500,6,RENT,major_purchase,15,1 year,Source Verified,0,4000,3
LC10064,Charged Off,11.99%,10,17.88,18,1,1,1-4,100000,8,MORTGAGE,major_purchase,2,2 years,Verified,0,8000,7
LC10065,Fully Paid,10.99%,9,8.28,9,0,0,0,92000,7,RENT,debt_consolidation,13,7 years,Not Verified,2,15000,13
LC10066,Fully Paid,13.49%,13,10.73,11,0,0,0,70000,6,MORTGAGE,car,4,10+ years,Not Verified,0,1800,2
LC10067,Fully Paid,16.89%,18,14.14,14,0,1,1-4,60000,5,MORTGAGE,debt_consolidation,11,10+ years,Not Verified,0,9000,8
LC10068,Fully Paid,10.59%,8,24.33,24,0,3,1-4,33000,3,MORTGAGE,vacation,11,5 years,Not Verified,0,10000,8
LC10069,Fully Paid,11.99%,10,11.15,11,0,1,1-4,180000,14,MORTGAGE,credit_card,10,8 years,Not Verified,0,8350,7
LC1007,Fully Paid,7.90%,4,9.69,10,0,0,0,52000,4,MORTGAGE,house,4,LT 1year,Not Verified,0,11000,9
LC10070,Fully Paid,10.99%,9,18.43,18,0,1,1-4,40000,3,MORTGAGE,debt_consolidation,12,2 years,Verified,0,25000,21
LC10071,Fully Paid,5.42%,1,12.93,13,0,0,0,39336,3,RENT,debt_consolidation,16,4 years,Verified,0,5000,4
LC10072,Fully Paid,11.99%,10,12.53,13,0,0,0,90000,7,RENT,other,10,10+ years,Not Verified,0,4700,4
LC10073,Fully Paid,9.99%,7,19.5,19,0,2,1-4,16800,1,RENT,major_purchase,13,2 years,Verified,0,15000,13
LC10074,Charged Off,13.99%,13,17.1,17,1,3,1-4,52000,4,MORTGAGE,car,11,n/a,Source Verified,0,5000,4
LC10075,Fully Paid,11.99%,10,18.46,18,0,0,0,57000,5,RENT,debt_consolidation,17,10+ years,Verified,0,25000,21
LC10076,Fully Paid,9.99%,7,6.64,7,0,0,0,60000,5,RENT,debt_consolidation,21,8 years,Not Verified,0,15000,13
LC10077,Fully Paid,7.49%,4,7.3,8,0,1,1-4,75000,6,MORTGAGE,credit_card,11,1 year,Not Verified,0,12000,10
LC10078,Fully Paid,10.99%,9,13.09,13,0,0,0,45000,4,RENT,major_purchase,5,5 years,Not Verified,0,14400,12
LC10079,Fully Paid,15.23%,15,19.2,19,0,2,1-4,105000,8,MORTGAGE,debt_consolidation,9,LT 1year,Source Verified,0,10000,8
LC1008,Fully Paid,18.25%,20,14.96,15,0,0,0,155142,12,MORTGAGE,debt_consolidation,5,LT 1year,Verified,0,4700,4
LC10080,Fully Paid,6.99%,3,17.03,17,0,0,0,16560,1,RENT,debt_consolidation,9,LT 1year,Source Verified,0,12000,10
LC10081,Fully Paid,15.23%,15,26.62,26,0,2,1-4,63300,5,RENT,credit_card,12,5 years,Not Verified,0,10000,8
LC10082,Fully Paid,15.23%,15,12.08,12,0,2,1-4,57600,5,RENT,credit_card,16,9 years,Verified,0,20000,17
LC10083,Fully Paid,6.99%,3,22.52,22,0,0,0,68000,5,RENT,debt_consolidation,12,1 year,Source Verified,0,24000,20
LC10084,Fully Paid,12.99%,12,24.32,24,0,2,1-4,27340,2,RENT,medical,14,7 years,Not Verified,2,5000,4
LC10085,Fully Paid,20.99%,24,19.47,19,0,1,1-4,58000,5,MORTGAGE,debt_consolidation,6,1 year,Source Verified,0,10000,8
LC10086,Fully Paid,11.99%,10,1.31,2,0,0,0,96000,8,RENT,other,6,5 years,Not Verified,1,2000,2
LC10087,Fully Paid,7.49%,4,15.56,16,0,1,1-4,170000,13,MORTGAGE,other,25,7 years,Not Verified,3,7500,6
LC10088,Fully Paid,12.99%,12,23.27,23,0,0,0,56820.92,5,MORTGAGE,debt_consolidation,7,3 years,Verified,0,9000,8
LC10089,Fully Paid,11.99%,10,7.98,8,0,7,5-8,26004,2,MORTGAGE,wedding,18,2 years,Not Verified,0,6000,5
LC1009,Fully Paid,8.90%,6,8.97,9,0,1,1-4,38400,3,RENT,other,5,8 years,Not Verified,0,15000,13
LC10090,Fully Paid,5.99%,1,8.17,8,0,0,0,80000,6,MORTGAGE,other,9,10+ years,Not Verified,0,12500,11
LC10091,Charged Off,17.49%,19,10.77,11,1,1,1-4,75000,6,MORTGAGE,other,17,10+ years,Not Verified,0,1200,1
LC10092,Fully Paid,5.42%,1,23.54,23,0,0,0,55000,4,MORTGAGE,debt_consolidation,7,LT 1year,Verified,0,25000,21
LC10093,Fully Paid,11.49%,10,0.67,1,0,0,0,72000,6,RENT,other,10,10+ years,Source Verified,0,4800,4
LC10094,Fully Paid,20.62%,23,2.41,3,0,0,0,119000,9,MORTGAGE,medical,8,LT 1year,Not Verified,0,2000,2
LC10095,Fully Paid,5.42%,1,2.42,3,0,1,1-4,50508,4,RENT,debt_consolidation,16,10+ years,Not Verified,0,14000,12
LC10096,Charged Off,19.69%,22,6.37,7,1,2,1-4,75000,6,RENT,wedding,3,4 years,Verified,0,8000,7
LC10097,Fully Paid,5.42%,1,2.96,3,0,0,0,66000,5,MORTGAGE,major_purchase,9,2 years,Source Verified,0,10000,8
LC10098,Charged Off,13.99%,13,2.83,3,1,2,1-4,27600,2,RENT,debt_consolidation,8,10+ years,Verified,0,6800,6
LC10099,Fully Paid,13.99%,13,15.4,15,0,3,1-4,65000,5,MORTGAGE,debt_consolidation,2,LT 1year,Source Verified,0,1500,1
LC101,Fully Paid,13.49%,13,9.98,10,0,1,1-4,64000,5,RENT,other,6,n/a,Not Verified,0,12000,10
LC1010,Fully Paid,13.49%,13,14.6,15,0,0,0,60000,5,RENT,credit_card,8,7 years,Not Verified,0,12700,11
LC10100,Fully Paid,5.42%,1,11.26,11,0,0,0,96000,8,MORTGAGE,debt_consolidation,4,3 years,Verified,0,16000,14
LC10101,Fully Paid,13.99%,13,12.39,12,0,2,1-4,27996,2,RENT,home_improvement,14,n/a,Source Verified,0,20000,17
LC10102,Fully Paid,13.99%,13,1.47,2,0,2,1-4,78972,6,RENT,debt_consolidation,8,10+ years,Verified,0,10000,8
LC10103,Fully Paid,11.99%,10,0.35,1,0,2,1-4,84996,7,MORTGAGE,home_improvement,8,5 years,Not Verified,0,10000,8
LC10104,Fully Paid,5.42%,1,6.2,6,0,0,0,24000,2,RENT,small_business,4,8 years,Verified,0,16000,14
LC10105,Fully Paid,11.99%,10,14.05,14,0,0,0,100505,8,OWN,home_improvement,4,1 year,Not Verified,0,7925,7
LC10106,Fully Paid,15.62%,16,14.41,14,0,3,1-4,82000,6,MORTGAGE,debt_consolidation,6,10+ years,Not Verified,0,8000,7
LC10107,Fully Paid,10.99%,9,15.05,15,0,0,0,108000,8,MORTGAGE,debt_consolidation,10,8 years,Verified,0,7550,6
LC10108,Fully Paid,10.59%,8,20.1,20,0,0,0,61080,5,MORTGAGE,credit_card,17,5 years,Not Verified,0,14400,12
LC10109,Fully Paid,16.49%,17,20.99,21,0,3,1-4,27504,2,RENT,major_purchase,3,LT 1year,Not Verified,0,1800,2
LC1011,Charged Off,6.03%,1,8.9,9,1,0,0,42000,3,MORTGAGE,debt_consolidation,12,10+ years,Not Verified,0,7500,6
LC10110,Fully Paid,15.62%,16,14.96,15,0,1,1-4,48600,4,RENT,debt_consolidation,5,2 years,Source Verified,0,6000,5
LC10111,Fully Paid,10.99%,9,21.91,22,0,0,0,55000,4,RENT,other,7,2 years,Verified,1,15000,13
LC10112,Fully Paid,10.99%,9,12.79,13,0,0,0,85000,7,MORTGAGE,other,11,5 years,Not Verified,0,6000,5
LC10113,Fully Paid,15.62%,16,2.99,3,0,1,1-4,71000,6,MORTGAGE,debt_consolidation,5,2 years,Source Verified,0,12000,10
LC10114,Fully Paid,12.99%,12,28.86,28,0,3,1-4,41700,3,MORTGAGE,debt_consolidation,8,8 years,Source Verified,0,4800,4
LC10115,Fully Paid,8.49%,5,9.36,10,0,0,0,26400,2,RENT,credit_card,7,3 years,Verified,0,16000,14
LC10116,Fully Paid,10.59%,8,17.59,18,0,2,1-4,150000,12,MORTGAGE,small_business,7,7 years,Not Verified,0,3000,3
LC10117,Charged Off,13.49%,13,1.09,2,1,1,1-4,63996,5,RENT,credit_card,6,LT 1year,Verified,0,19000,16
LC10118,Fully Paid,15.99%,16,16.36,16,0,1,1-4,57000,5,OWN,vacation,4,4 years,Verified,0,4550,4
LC10119,Charged Off,17.99%,20,11.5,12,1,0,0,31504.27,3,RENT,debt_consolidation,12,10+ years,Verified,0,35000,29
LC1012,Fully Paid,11.71%,10,15.7,16,0,0,0,96984,8,MORTGAGE,renewable_energy,8,10+ years,Verified,0,25000,21
LC10120,Fully Paid,11.49%,10,10.86,11,0,0,0,75000,6,RENT,debt_consolidation,13,7 years,Verified,0,25000,21
LC10121,Fully Paid,12.99%,12,2.09,3,0,0,0,72345,6,RENT,debt_consolidation,9,10+ years,Verified,0,14000,12
LC10122,Fully Paid,10.59%,8,24.67,24,0,2,1-4,80000,6,MORTGAGE,debt_consolidation,7,2 years,Not Verified,0,5000,4
LC10123,Fully Paid,10.59%,8,22.39,22,0,2,1-4,55000,4,RENT,major_purchase,4,2 years,Verified,0,1400,1
LC10124,Charged Off,13.49%,13,10.35,11,1,2,1-4,43000,3,RENT,vacation,6,n/a,Verified,0,2500,2
LC10125,Fully Paid,10.99%,9,9.1,9,0,0,0,50780,4,MORTGAGE,credit_card,9,3 years,Source Verified,0,11000,9
LC10126,Fully Paid,15.99%,16,12.25,12,0,0,0,24000,2,MORTGAGE,home_improvement,12,4 years,Source Verified,0,4800,4
LC10127,Fully Paid,12.99%,12,16.84,17,0,0,0,30000,2,MORTGAGE,debt_consolidation,17,6 years,Verified,0,20000,17
LC10128,Fully Paid,7.49%,4,0,1,0,0,0,70000,6,RENT,vacation,8,10+ years,Verified,2,5000,4
LC10129,Charged Off,11.49%,10,20.04,20,1,0,0,40000,3,MORTGAGE,major_purchase,7,3 years,Source Verified,0,12000,10
LC1013,Fully Paid,8.90%,6,18.28,18,0,1,1-4,31776,3,MORTGAGE,small_business,7,LT 1year,Source Verified,0,9600,8
LC10130,Fully Paid,15.99%,16,7.2,7,0,0,0,40000,3,RENT,debt_consolidation,12,2 years,Verified,0,20000,17
LC10131,Fully Paid,21.74%,25,11.82,12,0,0,0,46000,4,RENT,debt_consolidation,6,2 years,Source Verified,0,12000,10
LC10132,Fully Paid,8.49%,5,22.83,23,0,0,0,85000,7,MORTGAGE,debt_consolidation,6,5 years,Not Verified,0,9250,8
LC10133,Fully Paid,17.99%,20,3.85,4,0,3,1-4,52000,4,MORTGAGE,debt_consolidation,7,10+ years,Verified,1,27000,23
LC10134,Fully Paid,9.99%,7,21.83,22,0,3,1-4,116000,9,MORTGAGE,home_improvement,18,LT 1year,Not Verified,0,6000,5
LC10135,Fully Paid,12.99%,12,17.45,17,0,0,0,68000,5,RENT,moving,14,LT 1year,Source Verified,0,10000,8
LC10136,Fully Paid,12.99%,12,13.37,13,0,1,1-4,68400,5,OWN,other,7,10+ years,Source Verified,1,3200,3
LC10137,Fully Paid,5.99%,1,25.71,25,0,1,1-4,74360,6,OWN,other,11,10+ years,Not Verified,0,5600,5
LC10138,Charged Off,11.99%,10,9.77,10,1,0,0,85000,7,MORTGAGE,other,2,4 years,Not Verified,0,2000,2
LC10139,Fully Paid,10.59%,8,23.11,23,0,0,0,78000,6,MORTGAGE,debt_consolidation,7,3 years,Source Verified,0,6000,5
LC1014,Fully Paid,15.27%,15,16.51,16,0,2,1-4,45000,4,MORTGAGE,debt_consolidation,6,4 years,Not Verified,0,6000,5
LC10140,Fully Paid,12.99%,12,21.1,21,0,3,1-4,64197,5,MORTGAGE,debt_consolidation,8,8 years,Source Verified,0,12000,10
LC10141,Fully Paid,10.59%,8,0,1,0,0,0,33360,3,MORTGAGE,debt_consolidation,5,7 years,Verified,0,20000,17
LC10142,Fully Paid,16.49%,17,17.85,18,0,0,0,69996,6,MORTGAGE,wedding,4,4 years,Source Verified,0,6000,5
LC10143,Fully Paid,13.99%,13,14.34,14,0,2,1-4,60000,5,MORTGAGE,debt_consolidation,7,5 years,Not Verified,0,15000,13
LC10144,Fully Paid,5.99%,1,6.64,7,0,1,1-4,32000,3,MORTGAGE,debt_consolidation,14,5 years,Verified,0,18000,15
LC10145,Fully Paid,6.99%,3,25,25,0,0,0,36000,3,MORTGAGE,debt_consolidation,11,10+ years,Verified,0,30000,25
LC10146,Fully Paid,10.59%,8,10.4,11,0,0,0,50000,4,MORTGAGE,home_improvement,10,9 years,Source Verified,0,14000,12
LC10147,Fully Paid,16.49%,17,19.51,19,0,3,1-4,42000,3,MORTGAGE,debt_consolidation,8,4 years,Not Verified,1,3000,3
LC10148,Fully Paid,15.23%,15,12.69,13,0,2,1-4,50004,4,RENT,home_improvement,6,10+ years,Not Verified,0,4600,4
LC10149,Fully Paid,18.39%,20,10.3,10,0,0,0,24000,2,RENT,debt_consolidation,11,10+ years,Verified,0,20000,17
LC1015,Charged Off,12.42%,11,25.18,25,1,0,0,50000,4,RENT,home_improvement,8,8 years,Source Verified,0,7600,6
LC10150,Fully Paid,8.49%,5,5.01,5,0,0,0,80000,6,RENT,credit_card,19,10+ years,Not Verified,0,12600,11
LC10151,Charged Off,20.62%,23,9.58,10,1,1,1-4,48996,4,RENT,car,19,10+ years,Not Verified,0,9000,8
LC10152,Fully Paid,12.99%,12,15.52,16,0,0,0,80004,6,OWN,debt_consolidation,8,LT 1year,Not Verified,0,10000,8
LC10153,Charged Off,22.85%,27,18.79,19,1,1,1-4,94000,7,MORTGAGE,wedding,11,3 years,Not Verified,1,10600,9
LC10154,Fully Paid,11.49%,10,6.62,7,0,1,1-4,37500,3,MORTGAGE,debt_consolidation,14,4 years,Verified,0,18000,15
LC10155,Fully Paid,11.49%,10,11.01,11,0,0,0,70000,6,MORTGAGE,other,8,8 years,Not Verified,0,4500,4
LC10156,Fully Paid,11.99%,10,17.34,17,0,1,1-4,75000,6,MORTGAGE,credit_card,6,8 years,Source Verified,0,6000,5
LC10157,Fully Paid,11.49%,10,16.54,16,0,0,0,60000,5,MORTGAGE,major_purchase,16,10+ years,Verified,1,1500,1
LC10158,Fully Paid,15.99%,16,7.48,8,0,1,1-4,65004,5,RENT,credit_card,4,9 years,Not Verified,0,2750,2
LC10159,Fully Paid,5.99%,1,7.02,7,0,0,0,60000,5,MORTGAGE,credit_card,14,9 years,Verified,0,8000,7
LC1016,Charged Off,18.25%,20,13.44,13,1,0,0,70000,6,OWN,credit_card,3,2 years,Verified,0,6000,5
LC10160,Charged Off,15.99%,16,4.16,5,1,1,1-4,163400,13,MORTGAGE,educational,13,LT 1year,Not Verified,1,7500,6
LC10161,Fully Paid,15.23%,15,12.86,13,0,1,1-4,115000,9,MORTGAGE,credit_card,12,3 years,Not Verified,0,7000,6
LC10162,Fully Paid,10.59%,8,10.85,11,0,0,0,51000,4,RENT,major_purchase,7,1 year,Not Verified,0,8000,7
LC10163,Fully Paid,10.99%,9,24.22,24,0,1,1-4,38400,3,RENT,debt_consolidation,8,LT 1year,Source Verified,1,6800,6
LC10164,Charged Off,15.62%,16,7.8,8,1,0,0,36000,3,MORTGAGE,major_purchase,7,10+ years,Verified,0,12000,10
LC10165,Fully Paid,11.49%,10,16.26,16,0,1,1-4,78000,6,MORTGAGE,debt_consolidation,11,4 years,Not Verified,0,16000,14
LC10166,Fully Paid,6.99%,3,2.58,3,0,0,0,48852,4,MORTGAGE,home_improvement,10,3 years,Source Verified,0,24000,20
LC10167,Charged Off,10.99%,9,15.86,16,1,1,1-4,74000,6,RENT,credit_card,10,2 years,Not Verified,0,8000,7
LC10168,Fully Paid,14.79%,15,16.59,17,0,1,1-4,84000,7,MORTGAGE,other,9,10+ years,Not Verified,0,7500,6
LC10169,Fully Paid,11.99%,10,21.09,21,0,1,1-4,72500,6,MORTGAGE,major_purchase,8,LT 1year,Verified,0,14000,12
LC1017,Fully Paid,14.27%,14,19.71,20,0,0,0,33000,3,RENT,debt_consolidation,12,4 years,Verified,0,24000,20
LC10170,Fully Paid,11.99%,10,27.26,27,0,0,0,70000,6,OWN,wedding,10,2 years,Verified,0,5500,5
LC10171,Fully Paid,15.99%,16,8,8,0,1,1-4,150000,12,RENT,credit_card,21,10+ years,Source Verified,0,12000,10
LC10172,Fully Paid,13.49%,13,4.28,5,0,1,1-4,60324,5,RENT,renewable_energy,2,LT 1year,Source Verified,0,1000,1
LC10173,Fully Paid,8.49%,5,14.5,15,0,0,0,74000,6,OWN,small_business,12,4 years,Not Verified,0,4000,3
LC10174,Fully Paid,5.42%,1,8.88,9,0,0,0,70000,6,MORTGAGE,other,13,2 years,Verified,0,10000,8
LC10175,Fully Paid,8.49%,5,25.35,25,0,1,1-4,55000,4,MORTGAGE,home_improvement,11,6 years,Source Verified,0,10000,8
LC10176,Fully Paid,15.99%,16,15.81,16,0,1,1-4,75000,6,RENT,wedding,11,5 years,Source Verified,0,11000,9
LC10177,Charged Off,8.49%,5,9.75,10,1,0,0,9600,1,RENT,credit_card,5,2 years,Not Verified,0,9600,8
LC10178,Fully Paid,15.23%,15,5.06,5,0,1,1-4,112227,9,OWN,educational,14,3 years,Verified,1,12000,10
LC10179,Fully Paid,5.99%,1,19.31,19,0,0,0,56000,4,MORTGAGE,other,7,n/a,Not Verified,0,5400,5
LC1018,Fully Paid,6.03%,1,14.27,14,0,1,1-4,76000,6,MORTGAGE,other,7,10+ years,Not Verified,1,1500,1
LC10180,Fully Paid,11.49%,10,14.59,15,0,0,0,45000,4,MORTGAGE,debt_consolidation,4,LT 1year,Verified,0,11000,9
